level,n,batch,env,success,obj_x,obj_y,obj_yaw,cab_x,cab_y,cab_yaw,cab_joint_max,cab_yaw_dev,carry_dist
L1,10,2,3,False,0.1704701423645023,0.453589916229248,-0.1402910452009858,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.859044600289488
L1,10,2,4,False,0.2438539505004882,0.4996180534362793,0.5896468491016633,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8247095474124648
L1,10,2,5,False,0.1894837856292723,0.523838996887207,0.3735787566207785,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8827460481607975
L1,10,2,6,False,0.1819738388061522,0.4912680387496948,0.0006640000407495,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8700033643933481
L1,10,2,7,False,0.1678339481353759,0.5225062370300293,-0.1261576220786134,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8994886854420752
L1,10,2,8,False,0.2258170187473297,0.4395880699157715,0.293658017730538,0.9,0.0,-3.141592653589793,0.0,0.0,0.8048356126706941
L1,10,2,9,True,0.1981220185756683,0.4456030130386352,0.2354756807393498,0.9,0.0,-3.141592653589793,0.0,0.0,0.8313812278596412
L1,10,2,10,True,0.1915250211954117,0.4540560245513916,-0.1281516993641351,0.9,0.0,-3.141592653589793,0.0,0.0,0.8414889595375424
L1,10,2,11,False,0.2146260231733322,0.5103368759155273,0.0908692588375672,0.9,0.0,-3.141592653589793,0.0,0.0,0.8545064160264814
L1,10,2,12,False,0.2291540145874022,0.5092520713806152,-0.5423837163374716,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8422422503945325
L1,10,2,13,False,0.2079268932342528,0.3888410329818725,-0.2093099474883381,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.7938277735370581
L1,10,2,14,False,0.1871258258819579,0.3946520090103149,-0.7800941828750277,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8148250096433947
L1,10,2,15,False,0.173228883743286,0.4534039497375488,0.2123406480213693,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8566045745048526
L1,10,2,16,False,0.2416700363159183,0.4313030242919922,-0.0608774118593847,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.7870328073515764
L1,10,2,17,False,0.2062119483947757,0.4805539846420288,0.5926072811503521,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8439632650213545
L1,10,2,18,False,0.1718877792358402,0.470626950263977,-0.1960036684665243,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8669700873391706
L1,10,2,19,False,0.1693018913269046,0.5233001708984375,-0.7202944122124364,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8987562488688315
L1,10,3,0,False,0.2113288879394534,0.5230228900909424,0.7134666665855608,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8647663523436792
L1,10,3,1,False,0.189953708648682,0.4478110074996948,0.1562388160716266,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8394643734546767
L1,10,3,2,False,0.2146758079528812,0.5282440185546875,-0.7121135783700837,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8652808742505763
L1,10,3,3,False,0.1756757736206058,0.508793830871582,-0.539206557910885,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8851648136099223
L1,10,3,4,True,0.2322939872741698,0.5240330696105957,-0.7543512677365285,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8487885351933836
L1,10,3,5,False,0.1908658981323241,0.5078380107879639,0.0077420153180821,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8722216573972188
L1,10,3,6,False,0.1989978790283202,0.5316081047058105,-0.7187412633898093,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8797790350967096
L1,10,3,7,False,0.2590228557586669,0.4907498359680176,0.349256310439507,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8072713923721134
L1,10,3,8,False,0.2347770273685455,0.4170842170715332,-0.3621537549692187,0.9,0.0,-3.141592653589793,0.0,0.0,0.7851629432460517
L1,10,3,9,False,0.2138380199670791,0.4429689645767212,-0.2532259629001612,0.9,0.0,-3.141592653589793,0.0,0.0,0.8167250249752795
L1,10,3,10,False,0.1895770221948624,0.3696910142898559,0.1363996812037176,0.9,0.0,-3.141592653589793,0.0,0.0,0.8008571991561177
L1,10,3,11,False,0.1864990234375,0.3761601448059082,0.7807949668485585,0.9,0.0,-3.141592653589793,0.0,0.0,0.8065854561644681
L1,10,3,12,False,0.2006877899169921,0.4532580375671386,0.0936101893035868,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8333549158614201
L1,10,3,13,False,0.168548011779785,0.3646659851074219,-0.1106343730321077,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8173146834394154
L1,10,3,14,False,0.2512799739837645,0.5327939987182617,0.7345853909468996,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8394683539149645
L1,10,3,15,False,0.227461004257202,0.5242137908935547,-0.5787851805565151,0.8999999999999999,0.0,-3.141592653589793,0.0,0.0,0.8527067487464389
L1,10,3,16,False,0.2441829681396488,0.50860595703125,-0.6668452231436037,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8299252971236598
L1,10,3,17,False,0.2527736663818363,0.4117189645767212,-0.719037805940667,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.7670817640388399
L1,10,3,18,False,0.2216300010681156,0.4733619689941406,-0.2073231233240755,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8271985306689411
L1,10,3,19,False,0.2247270584106449,0.4501900672912597,-0.1558196574876014,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8115815685009425
L1,10,4,0,False,0.1666096687316898,0.3750700950622558,-0.491846725386271,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8237347596209911
L1,10,4,1,False,0.1715201377868656,0.5254250168800354,-0.7770939625516609,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8981950556607697
L1,10,4,2,False,0.2034958839416507,0.4360909461975097,-0.2417381250565359,0.9000000000000004,0.0,-3.141592653589793,0.0,0.0,0.8217623117676195
