submitted_at,stage,task,arm,key,stem,n_demos,slice,seed,trials,sbatch,walltime,slurm_jobid,notes
2026-09-18T06:35:27,datagen,T1,BC,BCv07,BCv07,,,1407,40,slurm/datagen.sbatch,00:30:00,58086001,launch_wave.py
2026-09-18T06:35:28,datagen,T1,BC,BCv08,BCv08,,,1408,40,slurm/datagen.sbatch,00:30:00,58086002,launch_wave.py
2026-09-18T06:35:30,datagen,T1,BC,BCv09,BCv09,,,1409,40,slurm/datagen.sbatch,00:30:00,58086003,launch_wave.py
2026-09-18T06:35:31,datagen,T3,AC,ACv00,T3_ACv00,,,3300,40,slurm/datagen.sbatch,00:30:00,58086004,launch_wave.py
2026-09-18T06:35:33,datagen,T3,AC,ACv01,T3_ACv01,,,3301,40,slurm/datagen.sbatch,00:30:00,58086007,launch_wave.py
2026-09-18T06:35:34,datagen,T3,AC,ACv02,T3_ACv02,,,3302,40,slurm/datagen.sbatch,00:30:00,58086009,launch_wave.py
2026-09-18T06:35:43,datagen,T3,AC,ACv03,T3_ACv03,,,3303,40,slurm/datagen.sbatch,00:30:00,58086011,launch_wave.py
2026-09-18T06:35:49,datagen,T3,AC,ACv04,T3_ACv04,,,3304,40,slurm/datagen.sbatch,00:30:00,58086012,launch_wave.py
2026-09-18T06:35:53,datagen,T3,AC,ACv05,T3_ACv05,,,3305,40,slurm/datagen.sbatch,00:30:00,58086014,launch_wave.py
2026-09-18T06:35:57,datagen,T3,AC,ACv06,T3_ACv06,,,3306,40,slurm/datagen.sbatch,00:30:00,58086024,launch_wave.py
2026-09-18T06:36:01,datagen,T3,AC,ACv07,T3_ACv07,,,3307,40,slurm/datagen.sbatch,00:30:00,58086026,launch_wave.py
2026-09-18T06:36:06,datagen,T3,AC,ACv08,T3_ACv08,,,3308,40,slurm/datagen.sbatch,00:30:00,58086034,launch_wave.py
2026-09-18T06:36:13,datagen,T3,AC,ACv09,T3_ACv09,,,3309,40,slurm/datagen.sbatch,00:30:00,58086054,launch_wave.py
2026-09-18T06:36:14,datagen,T3,BC,BCv00,T3_BCv00,,,3400,40,slurm/datagen.sbatch,00:30:00,58086057,launch_wave.py
2026-09-18T06:36:17,datagen,T3,BC,BCv01,T3_BCv01,,,3401,40,slurm/datagen.sbatch,00:30:00,58086060,launch_wave.py
2026-09-18T06:36:18,datagen,T3,BC,BCv02,T3_BCv02,,,3402,40,slurm/datagen.sbatch,00:30:00,58086061,launch_wave.py
2026-09-18T06:36:21,datagen,T3,BC,BCv03,T3_BCv03,,,3403,40,slurm/datagen.sbatch,00:30:00,58086062,launch_wave.py
2026-09-18T06:36:22,datagen,T3,BC,BCv04,T3_BCv04,,,3404,40,slurm/datagen.sbatch,00:30:00,58086063,launch_wave.py
2026-09-18T06:36:24,datagen,T3,BC,BCv05,T3_BCv05,,,3405,40,slurm/datagen.sbatch,00:30:00,58086064,launch_wave.py
2026-09-18T06:36:27,datagen,T3,BC,BCv06,T3_BCv06,,,3406,40,slurm/datagen.sbatch,00:30:00,58086065,launch_wave.py
2026-09-18T06:36:31,datagen,T3,BC,BCv07,T3_BCv07,,,3407,40,slurm/datagen.sbatch,00:30:00,58086066,launch_wave.py
2026-09-18T06:36:33,datagen,T3,BC,BCv08,T3_BCv08,,,3408,40,slurm/datagen.sbatch,00:30:00,58086067,launch_wave.py
2026-09-18T06:36:38,datagen,T3,BC,BCv09,T3_BCv09,,,3409,40,slurm/datagen.sbatch,00:30:00,58086068,launch_wave.py
