task,level,n_demos,batch,env,success,variant,obj_x,obj_y,obj_yaw,goal_x,goal_y,local_rej,nn_demo_dist,cab_x,cab_y,cab_dyaw,bearing
T1,L1,400,1,3,True,-1,0.5456910133361816,0.06700611114501953,-1.538425886175323,0.5,0.25,0.12,0.20370647547642248,,,,
T1,L1,400,1,4,True,-1,0.6355459690093994,0.1070261001586914,0.764659453038695,0.5,0.25,0.12,0.17980855958927966,,,,
T1,L1,400,1,5,True,-1,0.6258540153503418,-0.1133430004119873,-0.8342093806810263,0.5,0.25,0.19999999999999996,0.25303001761980265,,,,
T1,L1,400,1,6,True,-1,0.6477351188659668,-0.01732003688812256,1.5181399724407096,0.5,0.25,0.16000000000000003,0.730568369252512,,,,
T1,L1,400,1,7,True,-1,0.6314210891723633,0.09785604476928711,0.8896565573818832,0.5,0.25,0.16000000000000003,0.14489497919488215,,,,
T1,L1,400,1,8,True,-1,0.4172840118408203,0.02467799186706543,-0.6078825302914668,0.5,0.25,0.19999999999999996,0.3254565623196385,,,,
T1,L1,400,1,9,True,-1,0.4006330072879791,-0.15947699546813965,1.4434165562007077,0.5,0.25,0.19999999999999996,0.13170626769935334,,,,
T1,L1,400,1,10,True,-1,0.3615089952945709,0.13545501232147217,0.168019531213431,0.5,0.25,0.12,0.3383416977270024,,,,
T1,L1,400,1,11,True,-1,0.6430109739303589,-0.1848900318145752,0.8428471272002104,0.5,0.25,0.07999999999999996,0.3983804016860077,,,,
T1,L1,400,1,12,True,-1,0.6058729887008667,-0.13389110565185547,-0.34734139696903593,0.5,0.25,0.24,0.25965554971796634,,,,
T1,L1,400,1,13,True,-1,0.4234330654144287,0.002254009246826172,-0.1629100256876981,0.5,0.25,0.16000000000000003,0.350640075829394,,,,
T1,L1,400,1,14,True,-1,0.35228705406188965,-0.17118096351623535,0.07646260526158265,0.5,0.25,0.07999999999999996,0.1458864871236472,,,,
T1,L1,400,1,15,True,-1,0.6172759532928467,0.054141998291015625,-0.1497900316497556,0.5,0.25,0.07999999999999996,0.3357360114621123,,,,
T1,L1,400,1,16,True,-1,0.5726461410522461,0.010288000106811523,1.0322623943976907,0.5,0.25,0.16000000000000003,0.13289437916088667,,,,
T1,L1,400,1,17,True,-1,0.37904787063598633,-0.23231804370880127,-0.9762347225094953,0.5,0.25,0.12,0.3170909759654995,,,,
T1,L1,400,1,18,True,-1,0.5881252288818359,-0.24677598476409912,-1.3855916997300215,0.5,0.25,0.31999999999999995,0.22940196796370912,,,,
T1,L1,400,1,19,True,-1,0.5181660652160645,-0.11838793754577637,-1.0001948195246437,0.5,0.25,0.12,0.28171280197150955,,,,
T1,L1,400,2,0,True,-1,0.5413532257080078,-0.14773297309875488,-0.37964596816214247,0.5,0.25,0.24,0.33598125536921253,,,,
T1,L1,400,2,1,True,-1,0.37981081008911133,-0.010794997215270996,1.067638704257716,0.5,0.25,0.0,0.27030222970662365,,,,
T1,L1,400,2,2,True,-1,0.4966120719909668,-0.18815302848815918,0.21386124457477274,0.5,0.25,0.07999999999999996,0.23097139977039444,,,,
T1,L1,400,2,3,True,-1,0.3875460624694824,-0.033698081970214844,-0.7826446039173,0.5,0.25,0.19999999999999996,0.34482325047803397,,,,
T1,L1,400,2,4,True,-1,0.3651399612426758,-0.09519410133361816,0.14715266084551223,0.5,0.25,0.12,0.2342775468872564,,,,
T1,L1,400,2,5,True,-1,0.6421060562133789,-0.11122298240661621,-1.3510829776613884,0.5,0.25,0.28,0.19714281531642952,,,,
T1,L1,400,2,6,True,-1,0.5964179039001465,-0.13143599033355713,0.41732164630303675,0.5,0.25,0.19999999999999996,0.2688289143732454,,,,
T1,L1,400,2,7,True,-1,0.499675989151001,-0.10507607460021973,0.8859937638873459,0.5,0.25,0.16000000000000003,0.13298476516682387,,,,
T1,L1,400,2,8,True,-1,0.37232500314712524,-0.10513496398925781,-1.3274009590285878,0.5,0.25,0.24,0.5715049540019408,,,,
T1,L1,400,2,9,True,-1,0.46331000328063965,-0.11660003662109375,0.8810402399756908,0.5,0.25,0.16000000000000003,0.18540396066039935,,,,
T1,L1,400,2,10,True,-1,0.4746130108833313,-0.2028290033340454,1.2565942634893574,0.5,0.25,0.19999999999999996,0.11135515114026817,,,,
T1,L1,400,2,11,True,-1,0.4443399906158447,-0.22750306129455566,1.0227802015103669,0.5,0.25,0.16000000000000003,0.34997099898258066,,,,
T1,L1,400,2,12,True,-1,0.5910359621047974,-0.06209301948547363,-1.0407486831575825,0.5,0.25,0.24,0.2774506769107737,,,,
T1,L1,400,2,13,True,-1,0.46640491485595703,0.0016460418701171875,1.2932821451024321,0.5,0.25,0.040000000000000036,0.24214250053941672,,,,
T1,L1,400,2,14,True,-1,0.5711979866027832,-0.11334705352783203,-0.047240388720686186,0.5,0.25,0.24,0.23929774136283474,,,,
T1,L1,400,2,15,True,-1,0.3840179443359375,0.08597397804260254,1.5071057158156485,0.5,0.25,0.0,0.4196273214458879,,,,
T1,L1,400,2,16,True,-1,0.41747283935546875,-0.14301490783691406,1.353011001311279,0.5,0.25,0.19999999999999996,0.32627466667408284,,,,
T1,L1,400,2,17,True,-1,0.47009801864624023,-0.1363300085067749,1.2836868900672667,0.5,0.25,0.12,0.27483138581749195,,,,
T1,L1,400,2,18,True,-1,0.37511205673217773,0.06210196018218994,-0.1812981663012953,0.5,0.25,0.19999999999999996,0.412746679718019,,,,
T1,L1,400,2,19,True,-1,0.42130517959594727,-0.170989990234375,1.1046855280772416,0.5,0.25,0.16000000000000003,0.29511298997988095,,,,
T1,L1,400,3,0,True,-1,0.3978438377380371,0.04998493194580078,1.2054005219558837,0.5,0.25,0.0,0.13636399702502397,,,,
